x,share
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0.000607246
30,0.000607246
31,0.000607246
32,0.000607246
33,0.000607246
34,0.000607246
35,0.001509452
36,0.001509452
37,0.001509452
38,0.001509452
39,0.002519888
40,0.002519888
41,0.002519888
42,0.002519888
43,0.003616397
44,0.003616397
45,0.003616397
46,0.004756464
47,0.004756464
48,0.00592115
49,0.00592115
50,0.00706453
51,0.00706453
52,0.008272016
53,0.008272016
54,0.009468518
55,0.010620894
56,0.010620894
57,0.01183747
58,0.013007837
59,0.01419326
60,0.015317419
61,0.01642103
62,0.017558824
63,0.018746804
64,0.019863198
65,0.022185373
66,0.023288984
67,0.025384093
68,0.026488556
69,0.029513615
70,0.031707296
71,0.033690576
72,0.036648121
73,0.038607634
74,0.041687423
75,0.045368115
76,0.048871547
77,0.052460958
78,0.056635741
79,0.061902773
80,0.066940466
81,0.07252878
82,0.078627758
83,0.085540405
84,0.093017215
85,0.101017661
86,0.110686164
87,0.121252517
88,0.133066598
89,0.14611733
90,0.161419788
91,0.179706872
92,0.200529942
93,0.225923125
94,0.255649034
95,0.292519771
96,0.33878157
97,0.399037875
98,0.484365701
99,0.619707887
100,0.995340215
